Datum;Beginn;Ende;Ort;ID;Format;Titel_Session;Chair;Titel_Beitrag;Autorin/Autor_1;Affilation_1;Land_1;Autorin/Autor_2;Affilation_2;Land_2;Autorin/Autor_3;Affilation_3;Land_3;Autorin/Autor_4;Affilation_4;Land_4;Autorin/Autor_5;Affilation_5;Land_5;Autorin/Autor_6;Affilation_6;Land_6;Autorin/Autor_7;Affilation_7;Land_7;Autorin/Autor_8;Affilation_8;Land_8;Autorin/Autor_9;Affilation_9;Land_9;Autorin/Autor_10;Affilation_10;Land_10;Zusammenfassung
28.03.2019;11:00;12:30;HZ3;Vortrag_215;Vortrag;;;Vortrag Interlinked: Schriftzeugnisse der klassischen Mayakultur im Spannungsfeld zwischen Stand-off- und Inlinemarkup in TEI-XML;Uwe Sikora;Niedersächsische Staats- und Universitätsbibliothek Göttingen;Deutschland;Sven Gronemeyer;Rheinische Friedrich-Wilhelms-Universität Bonn / La Trobe University;Deutschland / Australien;Franziska Diehr;Stiftung Preußischer Kulturbesitz;Deutschland;Elisabeth Wagner;Rheinische Friedrich-Wilhelms-Universität Bonn;Deutschland;Christian Prager;Rheinische Friedrich-Wilhelms-Universität Bonn;Deutschland;Maximilian Brodhun;Niedersächsische Staats- und Universitätsbibliothek Göttingen;Deutschland;Katja Diederichs;Rheinische Friedrich-Wilhelms-Universität Bonn;Deutschland;Nikolai Grube;Rheinische Friedrich-Wilhelms-Universität Bonn;Deutschland;;;;;;;Das Forschungsprojekt Textdatenbank und Wörterbuch des Klassischen Maya kompiliert die Textzeugnisse der klassischen Mayakultur in einem maschinenlesbaren Korpus, das als virtuell verknüpftes Wissensobjekt Schriftforschern multiple Zugriffe auf den Forschungsgegenstand bietet. Durch die Erfassung separater, aber untereinander verknüpfter Informationen wird eine ganzheitliche Erschließung der Mayatexte ermöglicht. Beschreibungen von texttopographisch-strukturellen Phänomenen koexistieren mit inhaltlich-philologischen und linguistischen Beschreibungen unter Einbindung artefakt- und kontextspezifischer Dokumentation - dabei wird die spezifische Semantik und Komplexität jedes einzelnen Beschreibungsschemas berücksichtigt. Unter Verwendung unterschiedlicher Formate (RDF, XML), Standards und Referenzsysteme (CIDOC-CRM, TEI-P5) werden die Texte der Klassischen Mayakultur in einem interlinked Korpus als formalisierte, virtuell zusammengeführte Informationsressourcen erfasst.
28.03.2019;11:00;12:30;HZ3;Vortrag_269;Vortrag;;;Vortrag Von IIIF zu IPIF? Ein Vorschlag für den Datenaustausch über Personen;Georg Vogeler;Universität Graz;Österreich;Gunter Vasold;Universität Graz;Österreich;Matthias Schlögl;Österreichische Akademie der Wissenschaften;Österreich;;;;;;;;;;;;;;;;;;;;;;Der Beitrag stellt einen Vorschlag vor, mit dem der Datenaustausch über Personen jenseits allgemeiner Linked Open Data-Lösungen verbessert werden kann. Aufbauend auf dem von Bradley/Short entwickelten Factoid-Datenmodell, bezieht er sichauf technische Lösungen zur Definition von RESTful APIs (OpenAPI) und dem Einsatz einer Upper Level Ontologie des CIDOC-CRM, wie er in der dataforhistory-Initiative propagiert wird. Der Beitrag beschreibt die API-Definition, ordnet sie in die Geschichte der digitalen Prosopographie ein und skizziert Implementationen auf der Seite Datenanbieter wie der der Datenkonsumenten.
28.03.2019;11:00;12:30;HZ3;Vortrag_267;Vortrag;;;Vortrag Metadaten im Zeitalter von Google Dataset Search;Jonathan Blumtritt;Data Center for the Humanities Universität zu Köln;Deutschland;Felix Rau;Data Center for the Humanities Universität zu Köln;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;Forschungsdatenzentren und Forschungsinfrastrukturen verwenden einen bedeutenden Teil ihrer personellen und finanziellen Ressourcen für die Modellierung und Kuration von Metadaten auf. Die aktuellen Veränderungen in der Datensatzsuche bedeuten auf der einen Seite, dass Findbarkeit immer weiter aus der Kontrolle der einzelnen Repositorien in die Hand von Metaportalen und kommerziellen Drittanbietern geht. In diesem Beitrag berichten wir aus der Sicht des Spracharchivs Language Archive Cologne, dessen Softwaregrundlage gerade im Rahmen des BMBF Projektes KAÂ³ erneuert wird, über aktuellen und zukünftigen Veränderungen im Bereich Metadaten und Discovery, die für eine nachhaltige Planung berücksichtigt werden müssen.
28.03.2019;11:00;12:30;HZ4;Panel_270;Panel;;;Panel Multimodale Anreicherung von Noteneditionen: Edirom und Datenbank;Berthold Over;Johannes Gutenberg-Universität Mainz;Deutschland;Martin Albrecht-Hohmaier;Berlin;Deutschland;Kristin Herold;Universität Paderborn;Deutschland;Gesa zur Nieden;Johannes Gutenberg-Universität Mainz;Deutschland;Christine Siegert;Beethoven-Haus Bonn;Deutschland;;;;;;;;;;;;;;;;Opern-Pasticci, d.h. Opern, die aus präexistentem musikalischem Material zusammengestellt wurden, bieten zahlreiche Herausforderungen für die Musikedition. Da die Modularität der Oper des 18. Jahrhunderts mit ihrer standardisierten Abfolge von Rezitativ und Arie einen permanenten Austausch der Module, i.d.R. der Arien, erlaubte, muss die Musikedition diesem Phänomen Rechnung tragen. Dies ist über Edirom ohne weiteres möglich und wird auch bereits praktiziert. Die Verknüpfung von Edirom mit einer kulturwissenschaftlichen Datenbank, in der Informationen zur Provenienz der Arien, zu den Sängern des ursprünglichen Kontexts, ihren Karrieren und Itineraren, zu musikalischen Anpassungen, zu Quellen und ihrer Zirkulation nach dem FRBR-Modell abgelegt sind, ist hingegen Neuland. Das Panel diskutiert das Erkenntnisinteresse einer solchen Edition und arbeitet die Voraussetzungen für die Integration von Edirom und Datenbank heraus.
28.03.2019;11:00;12:30;HZ5;;Session;Session Texte und Strukturen;Friedrich Dimpel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.03.2019;11:00;12:30;HZ5;Vortrag_181;Vortrag;;;Vortrag Makroanalytische Untersuchung von Heftromanen;Fotis Jannidis;Julius-Maximilians-Universität Würzburg;Deutschland;Leonard Konle;Julius-Maximilians-Universität Würzburg;Deutschland;Peter Leinen;Deutsche Nationalbibliothek;Deutschland;;;;;;;;;;;;;;;;;;;;;;Heftromane, früher als ”˜Romane der Unterschicht”™ abgewertet, sind aufgrund eines weniger wertungsfreudigen Umgangs mit Populärliteratur in den letzten 10-15 Jahren wieder Gegenstand der Literaturforschung geworden. ”˜Heftromane”™ wurden immer definiert durch das eigene Publikationsformat, eigene Formen der Distribution über den Zeitschriftenmarkt und nicht über den Buchhandel, und auch die Soziographie der Heftromanleser weicht deutlich von der der sonstigen Literatur ab. Im Folgenden berichten wir über erste Ergebnisse einer Auswertung von 9.000 deutschsprachigen Heftromanen aus den Jahren 2009-2017. Möglich wurde die Forschung durch eine Kooperation zwischen der Würzburger Arbeitsgruppe zur literarischen Textanalyse und der Deutschen Nationalbibliothek, die die Daten vorhält.
28.03.2019;11:00;12:30;HZ5;Vortrag_103;Vortrag;;;Vortrag Aristoteles multimodal – Mit ediarum in den Graphen;Andreas Kuczera;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Martin Fechner;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;In diesem Beitrag wird am Beispiel der Forschungsdaten des Akademienvorhabens “Commentaria in Aristotelem Graeca et Byzantina” gezeigt, welchen Mehrwert die Analyse von Forschungsdaten in einer Graphdatenbank bieten kann und warum Schnittstellen Digitaler Editionen für Graphdatenbanken sinnvoll sind.
28.03.2019;11:00;12:30;HZ5;Vortrag_258;Vortrag;;;Vortrag Multimodale Versuche der Alignierung historischer Texte;Andreas Wagner;Max-Planck-Institut für europäische Rechtsgeschichte;Deutschland;Manuela Bragagnolo;Max-Planck-Institut für europäische Rechtsgeschichte;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;"Die maschinelle Kollationierung von Texten *in verschiedenen Sprachen* ist eine offene Forschungsfrage der Digital Humanities. Verschiedene Ã„hnlichkeitsmaße der DH-Methoden gehen von einer Kollationierung *innerhalb* einer Sprache aus, während industriell erprobte Methoden, etwa aus dem Bereich Machine Translation, nicht mit historischem Wandel in Rechtschreibung und Typographie umgehen können. Das Forschungsprojekt ""Das Beichthandbuch des AzpÃ­lcueta"" untersucht die Entwicklung eines Werks in knapp 60 portugiesischen, spanischen und lateinischen Druckeditionen des 16. Jahrhunderts. In diesen Editionen sorgte der Autor z.T. selbst für die Übersetzung und er modifizierte das Werk allmählich wesentlich. Um die Untersuchung dieser Entwicklung zu erleichtern, evaluieren wir verschiedene Ansätze, korrespondierende Passagen zwischen jeweils zwei Editionen zu identifizieren. Sie greifen in ganz verschiedenen Modi auf die Daten zu und lassen sich grob in statistische, linguistische sowie wissensbasierte Ansätze unterteilen. Der Vortrag wird das Verfahren und die Ergebnisse dieser Evaluation vorstellen, und dabei auch die Faktoren und Auswirkungen der nötigen manuellen Zuarbeit benennen."
28.03.2019;14:00;15:30;HZ3;;Session;Session Digitale Theoriereflexion;Jörg Wettlaufer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.03.2019;14:00;15:30;HZ3;Vortrag_259;Vortrag;;;Vortrag Vom Digitalisat zum Kontextualisat – einige Gedanken zu digitalen Objekten;Enes Türkoglu;Universität zu Köln;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;Im Rahmen der laufenden Forschung sollte eine Form von Digitalisierung und Bereitstellung erarbeitet werden, die entsprechend den Anforderungen der Geisteswissenschaften die kulturelle Praxis zugänglich macht, welche in Objekten ruht und ihren Quellenwert mitbestimmt. Um die Relevanz solcher Anwendungen für die Forschung zu demonstrieren, werden türkische Schattentheaterfiguren in interaktiver Form virtualisiert. Von hier aus führen Überlegungen weiter zu prävalierenden Problemen der gängigen Digitalisierungsstrategien, die im Ergebnis häufig zu unengagierten Datenbanken führen, die blind gegenüber der Zentralität von Interpretation und kulturellem Kontext bleiben. Eine Diskussion zur Verfasstheit von materiellen und digitalen Objekten, deren Potential und ihrer Beziehung zueinander schließt sich an und stellt sich als wahrer Fundus für spannende theoretische Fragenstellungen heraus, aus deren Weiterverfolgung sich Impulse für eine inspirierte Interdisziplinarität ergeben können.
28.03.2019;14:00;15:30;HZ3;Vortrag_174;Vortrag;;;Vortrag Standardisierte Medien. Ein Paradigmenwechsel in den Geisteswissenschaften;Daniel Althof;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;Die Hauptthese lautet: Die Standardisierung in den DH stellt einen Paradigmenwechsel in den Geisteswissenschaften dar, der vergleichbar ist mit der Formalisierung in den Naturwissenschaften. Der Vortrag möchte einen Paradigmenwechsel konstatieren, der darin besteht, dass das Zeichen und die Erforschung der Zeichen in den GW eine tiefgreifende Transformation dadurch erfahren, dass sie aus den analogen Medien in ein digitales Supermedium transferiert werden. Medialität als solche sowie die Natur des Zeichens selbst werden tiefgreifend verändert. Denn durch die dynamische Generierung aller Medien im Computer wird das Zeichen im Zuge umgreifender Standardisierung vom passiven, statischen Träger von Inhalt zum aktiven, dynamischen Erzeuger desselben. Das verändert das Verständnis geisteswissenschaftlicher Forschung nachhaltig. 
28.03.2019;14:00;15:30;HZ3;Vortrag_104;Vortrag;;;Vortrag Prototypen als Proto-Theorie? – Plädoyer einer digitalen Theoriebildung;Rabea Kleymann;Universität Hamburg;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Der Vortrag möchte darlegen, inwiefern Softwareprototypen als ""Proto-Theorie"" der Digital Humanities begriffen werden können. Ausgehend von der aktuellen Theoriedebatte in den Digital Humanities erörtert der Vortrag die theoriebildenden Effekte von Softwareprototypen und diskutiert neue digitale Gestaltungsformen von Theoriebildung."
28.03.2019;14:00;15:30;HZ4;;Session;Session (Inter-) Aktion im virtuellen Raum;Annika Rockenberger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.03.2019;14:00;15:30;HZ4;Vortrag_199;Vortrag;;;Vortrag Herausforderungen des Digital Storytelling am Beispiel des VRlabs des Deutschen Museums;Georg Hohmann;Deutsches Museum;Deutschland;Andrea Geipel;Deutsches Museum;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;Digitale Entwicklungen in den Bereichen Virtual Reality (VR) und Augmented Reality (AR) bieten auch für Museen neue Möglichkeiten im Umgang mit und in der Vermittlung des kulturellen Erbes. Gleichzeitig stellen sich Herausforderungen hinsichtlich infrastruktureller Ressourcen und nachhaltiger Vermittlungskonzepte. Seit August 2018 können Besucher/innen des Deutschen Museums insgesamt vier 3D-Szenarien im VRlab mit Hilfe von VR-Brillen und Controllern interaktiv erkunden. Das VRlab versteht sich dabei als Experimentierfeld, um im stetigen Austausch zwischen Besucher/innen, Kuratoren/-innen, Software-Entwickler/innen sowie dem didaktischen Fachpersonal, Inhalte und Darstellungsformen weiterzuentwickeln. Mit dem Beitrag möchten wir das Projektkonzept, die verwendeten wissenschaftlichen Methoden zur Evaluation sowie erste Ergebnisse aus dem laufenden Betrieb vorstellen und diskutieren.
28.03.2019;14:00;15:30;HZ4;Vortrag_189;Vortrag;;;Vortrag Besucherexperimente im Science Center: Welche Einsichten in die Herstellung von Wissen in Interaktion werden erst durch die Zusammenschau von Audio-, Video- und Eye-Tracking-Daten möglich?;Wolfgang Kesselheim;Universität Zürich;Schweiz;Christoph Hottiger;Universität Zürich;Schweiz;;;;;;;;;;;;;;;;;;;;;;;;;Die interaktive Herstellung von Wissen zu Naturphänomenen im Science Center ist ein grundlegend multimodales Phänomen: Nicht nur nutzen die Besucherinnen und Besucher zur gemeinsamen Konstruktion von Wissen die unterschiedlichsten körperlichen Ausdrucksressourcen, auch greifen sie in ihrer Interaktion auf multimodale Ressourcen im Ausstellungsraum zurück (Objekte, Grafiken, Texte). In unserem Vortrag werden wir anhand von Beispielanalysen aus dem Projekt „Interactive Discoveries“ (p3.snf.ch/project-162848) zeigen, dass ein vollumfängliches Verständnis dieser Praktiken der Wissenskonstruktion nur möglich ist, wenn man Daten aus unterschiedlichen Quellen (Audio, Video, Eye-Tracking) miteinander verknüpft. Dazu analysieren wir erst Daten eines einzelnen mode (nur Audio bzw. nur Eye-Tracking) und zeigen, welche verkürzenden und verzerrenden analytischen Aussagen korrigiert werden können, sobald man weitere modes zur Analyse hinzuzieht. Mit unserem Vortrag leisten wir einen Beitrag zur Etablierung der Multimodalität in der Fachkommunikationsforschung und zur konversationsanalytischen Debatte um die Analyse „multimodaler Gestalten“. 
28.03.2019;14:00;15:30;HZ4;Vortrag_282;Vortrag;;;Vortrag Interaktion im öffentlichen Raum: Von der qualitativen Rekonstruktion ihrer multimodalen Gestalt zur automatischen Detektion mit Hilfe von 3-D-Sensoren;Sergey Mukhametov;Westfälische Wilhelms-Universität Münster;Deutschland;Wolfgang Kesselheim;Universität Zürich;Schweiz;Christina Brandenbeger;Universität Zürich;Schweiz;;;;;;;;;;;;;;;;;;;;;;"Die Körper von Interaktionsbeteiligten sind auf spezifische Art und Weise aufeinander ausgerichtet. Sie bilden einen ""Interaktionsraum"". In Soziologie, Psychologie und Linguistik sind die Herstellung, Aufrechterhaltung und die Auflösung von Interaktionsräumen untersucht und wichtige Merkmale herausgearbeitet worden - in den letzten Jahren vor allem basierend auf Videoaufnahmen authentischer Interaktionsereignisse. Moderne technologische Entwicklungen machen es möglich, präzise Informationen zu Bewegungen, Verhalten, und sozialen Interaktionen einer größeren Anzahl von Probanden automatisiert und berührungsfrei zu erheben und im räumlichen Kontext zu analysieren. Ziel unseres Vortrags ist es nun, zu zeigen, wie sich die bisherigen Forschungsergebnisse nutzen lassen, um Interaktionsräume automatisch detektieren zu können. Mit der quantitativen Auswertung von Interaktionsräumen wird es möglich, im Vergleich zu den bisherigen Studien die Datenbasis beträchtlich zu erweitern und darauf basierend Generalisierungen zu den typischen Mustern und Merkmalen von Interaktionsräumen herauszuarbeiten."
28.03.2019;14:00;15:30;HZ5;;Session;Session Text-Analyse: Automatisierung und Standardisierung;Steffen Pielström;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.03.2019;14:00;15:30;HZ5;Vortrag_151;Vortrag;;;Vortrag Ein neues Format für die Digital Humanities: Shared Tasks. Zur Annotation narrativer Ebenen;Marcus Willand;Ruprecht-Karls-Universität Heidelberg / Universität Stuttgart;Deutschland;Evelyn Gius;Universität Hamburg;Deutschland;Nils Reiter;Universität Stuttgart;Deutschland;;;;;;;;;;;;;;;;;;;;;;Der Beitrag stellt ein neues, aus der Sprachverarbeitung importiertes und adaptiertes Arbeitsformat vor: Shared Tasks. Er zeigt anhand eines gerade laufenden, auf die Annotation literarischer Ebenen angepassten STs, dass dieses Format große Vorteile und Potentiale verspricht für die Weiterentwicklung von Konzepten, Operationalisierung, Analyse und Interpretation in den Digital Humanities.Der Beitrag fokussiert die von den Teilnehmer/innen am ST eingereichten und auf einem gemeinsamen Workshop evaluierten Richtlinien zur Annotation narrativer Level. Damit leistet er Grundlagenarbeit für die Evaluation vager, geisteswissenschaftlicher Konzepte und ihrer Operationalisierung. Er adressiert dergestalt eine der zentralen Herausforderungen der Digital Humanities. 
28.03.2019;14:00;15:30;HZ5;Vortrag_237;Vortrag;;;Vortrag Kann Nonstandard standardisiert werden? Ein Annotations-Standardisierungsversuch nicht nur von PoS-Tags am Beispiel des Spezialforschungsbereichs „Deutsch in Österreich“;Melanie Seltmann;Universität Wien;Österreich;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unter einer Annotation von Sprachdaten wird eine Markierung, Kategorisierung und Interpretation derselben verstanden. Sie dienen – auch in anderen Wissenschaftsdisziplinen – in der Regel der wissenschaftlichen Auseinandersetzung und dem Forschungsprozess mit einem Datum und halten ebenso dessen Ergebnis fest (vgl. Breuer/Seltmann 2018: 145). Im Vortrag soll anhand des (Aufbaus des) Annotationssystems des Spezialforschungsbereichs „Deutsch in Österreich. Variation – Kontakt – Perzeption“ (FWF F60, SFB DiÖ) die Annotation von Nonstandardvarietäten hinterfragt werden. Die Anforderungen an ein standardisiertes Annotationssystem werden erfragt. Dabei wird diskutiert, ob für eine Standardisierung das Vokabular oder eher die Struktur der Annotation standardisiert werden sollte. Im Vergleich zum STTS (Schiller et al. 1999) und (EDiSyn)-Tagset (Barbiers/Wyngaerd o.J.) wird anhand von PoS-Tags der Standardisierungsversuch des SFB DiÖ vorgestellt. Schließlich werden Vor- und Nachteile einer Standardisierung diskutiert.
28.03.2019;14:00;15:30;HZ5;Vortrag_139;Vortrag;;;Vortrag Automatic recognition of direct speech without quotation marks. A rule-based approach;Ngoc Duyen Tanja Tu;Institut für Deutsche Sprache;Deutschland;Markus Krug;Julius-Maximilians-Universität Würzburg;Deutschland;Annelen Brunner;Institut für Deutsche Sprache;Deutschland;;;;;;;;;;;;;;;;;;;;;;This paper describes a rule-based approach to detect direct speech without the help of any quotation markers. As datasets fictional and non-fictional texts were used. Our evaluation shows that the results appear stable throughout different datasets in the fictional domain and are comparable to the results achieved in related work. 
28.03.2019;14:00;15:30;HZ6;;Session;Session Bestimmen und Identifizieren;Walter Scholger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.03.2019;14:00;15:30;HZ6;Vortrag_273;Vortrag;;;Vortrag Nomisma.org: Numismatik und das Semantic Web;David Wigg-Wolf;Deutsches Archäologisches Institut;Deutschland;Karsten Tolle;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;Timo Kissinger;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;;;;;;;;;;;;;;;;;;;;;;Nomisma.org definiert und stellt stabile digitale Repräsentationen numismatischer Konzepte nach den Prinzipien von Linked Open Data in Form von http-URIs sowie einer numismatischen Ontologie zur Verfügung, die es ermöglichen, Datenbestände, die bisher nur in disparaten relationalen Datenbanken vorhanden waren, in RDF zu modellieren und gemeinsam recherchierbar zu machen. Fast 200.000 Münzen von 39 Institutionen werden heute in auf Nomisma.org basierenden Online-Ressourcen veröffentlicht, die in die Linked Open Data-Welt der Antike fest integriert sind.In diesem Beitrag werden die Entwicklung und technische Infrastruktur von Nomisma.org vorgestellt, sowie einzelne Projekte, welche das Vokabular und die Ontologie des Projektes einsetzen, um digitale Datenbestände in virtuellen Sammlungen zusammenzuführen und online zu stellen. In einem zweiten Teil werden Pläne erörtert, Münzen im archäologischen Kontext zu erfassen, sowie neben Datenbanken auch textbasierte Materialsammlungen auf die Konzepte von Nomisma.org zu mappen.
28.03.2019;14:00;15:30;HZ6;Vortrag_182;Vortrag;;;Vortrag Ein unscharfer Suchalgorithmus für Transkriptionen von arabischen Ortsnamen;Magdalena Scherl;Hochschule Mainz - University of Applied Sciences;Deutschland;Martin Unold;Hochschule Mainz - University of Applied Sciences;Deutschland;Timo Homburg;Hochschule Mainz - University of Applied Sciences;Deutschland;;;;;;;;;;;;;;;;;;;;;;Digitale Ortsverzeichnisse (Gazetteers) beinhalten Informationen über Orte sowie deren geographische Lage. Eine der grundlegendsten Aufgaben im Umgang mit solchen Ortsverzeichnissen ist die Suche nach Ortsnamen. Diese Suche kann sehr schwierig sein für Ortsnamen, die in verschiedenen Transliterations- oder Transkriptionsvarianten vorliegen, wie es oft bei arabischen Ortsnamen der Fall ist. In diesen Fällen reicht eine reine Volltextsuche nicht aus. Hier können unscharfe String-Matching-Algorithmen eine bessere Trefferquote für Suchen erreichen.In dieser Publikation präsentieren wir einen auf einer gewichteten Levenshteindistanz aufbauenden Algorithmus für arabische Transliterationen, der fehlertolerant und gleichzeitig präzise genug ist, um das Auffinden von Transliterationsvarianten zu ermöglichen. Wir testeten diesen Algorithmus auf einem arabischen Korpus und die Übertragbarkeit des Algorithmus auf sumerischen Keilschrifttexten, die ähnliche Transliterationsambiguitäten aufweisen. Unser Algorithmus kann abhängig vom gegebenen Wörterbuch Toponyme mit einer Präzision von 90-95% und somit einer Verbesserung von 9-27 Prozentpunkten zur normalen Levenshteindistanz erreichen.
28.03.2019;14:00;15:30;HZ6;Vortrag_222;Vortrag;;;Vortrag “The Bard meets the Doctor” – Computergestützte Identifikation intertextueller Shakespearebezüge in der Science Fiction-Serie Dr. Who;Manuel Burghardt;Universität Leipzig;Deutschland;Selina Meyer;Universität Regensburg;Deutschland;Stephanie Schmidtbauer;Universität Regensburg;Deutschland;Johannes Molz;Ludwig-Maximilians-Universität München;Deutschland;;;;;;;;;;;;;;;;;;;"In diesem Beitrag präsentieren wir einen computergestützten Ansatz zur Identifikation von Shakespearezitaten in den Transkriptionen der britischen Fernsehserie ""Dr. Who"". Wir setzen einerseits eine automatisierte Suche nach Schlüsselbegriffen aus Shakespeares Werk um, um so bspw. Referenzen auf Figuren oder Werkstitel zu identifizieren. Andererseits berechnen wir local alignments mit dem Smith-Waterman-Algorithmus, um so längere Zitate aus Shakespeares Werk zu erkennen. Wir diskutieren die Ergebnisse beider Ansätze und schließen mit einem Fazit zur Übertragbarkeit und Optimierung der Methodik."
29.03.2019;09:00;10:30;HZ3;;Session;Session Digital Humanities selbst;Ulrike Wuttke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.03.2019;09:00;10:30;HZ3;Vortrag_246;Vortrag;;;Vortrag Wandel in der Wissenschaftskommunikation? Ergebnisse der Umfrage bei den Bloggenden von de.hypotheses.org;Mareike König;Deutsches Historisches Institut Paris;Frankreich;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wissenschaftliche Blogs sind Orte, in denen aus laufenden Forschungsprojekten berichtet und mit der Fachcommunity diskutiert werden kann. Seit der Eröffnung der deutschsprachigen Blogplattform de.hypotheses 2012 haben geisteswissenschaftliche Blogs an Anzahl, Sichtbarkeit und Bedeutung für die Wissenschaftskommunikation stark zugenommen. Doch wie hat sich darüber das Publikations- und Kommunikationsverhalten tatsächlich verändert? Der Vortrag stellt die Ergebnisse einer Umfrage vor, die im Herbst 2018 bei den Bloggenden der Plattform durchgeführt wird. Die Umfrage zielt darauf, Motivationen und Inhalte sowie konkrete Schreib- und Kommunikationspraktiken der geisteswissenschaftlichen Bloggenden abzufragen und diese mit akademischen Status, Geschlecht und Alter rückzukoppeln. Es ist die erste empirische Studie dieser Art im deutschsprachigen Raum.
29.03.2019;09:00;10:30;HZ3;Vortrag_130;Vortrag;;;Vortrag DH is the Study of dead Dudes;Mark Hall;Martin-Luther-Universität Halle-Wittenberg;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;Für Forschung im Bereich Digital Humanities ist es in vielen Fällen notwendig einen Datensatz zu wählen der bearbeitet werden soll. In der Wahl dieses Datensatzes fließen sowohl bewusste, wie auch unbewusste Kriterien ein, wodurch sich oft eine (unbewusste) Fokussierung auf den Kanon der jeweiligen Disziplin und der Gesellschaft im allgemeinen ergibt. Dies wurde auch bereits thematisiert, aber primär auf Basis von Anekdoten. In diesem Beitrag präsentieren wir eine quantitative Analyse des Genders, Sprache und Herkunft von Personen die in Abstracts der DHd Konferenzen 2016 - 2018 erwähnt wurden. Die Ergebnisse zeigen, dass bezüglich Sprache und Herkunft keine übermäßige Fokussierung auf den deutsch/deutschsprachigen Bereich zu finden ist, aber das im Bereich Gender ein extremes Ungleichgewicht besteht, und dass im deutschsprachigen DH Raum Frauen effektiv keine Rolle als Studiensubjekte spielen.
29.03.2019;09:00;10:30;HZ3;Vortrag_216;Vortrag;;;Vortrag Methoden auf der Testbank: Ein interdisziplinäres, multimodales Lehrkonzept zur Beantwortung einer fachhistorischen Fragestellung;Katrin Moeller;Martin-Luther-Universität Halle-Wittenberg;Deutschland;Andreas Müller;Martin-Luther-Universität Halle-Wittenberg;Deutschland;Anne Purschwitz;Martin-Luther-Universität Halle-Wittenberg;Deutschland;;;;;;;;;;;;;;;;;;;;;;Vorgestellt wird ein Projekt aus der digitalen Lehre. Über eine Fragestellung aus der Geschichtswissenschaft soll mithilfe von drei verschiedenen Methoden (Hermeneutik, statistische Auswertung, Netzwerkanalyse) die Erschließung eines Textkorporas mithilfe von drei verschiedene Datentypen demonstriert werden. Ein didaktisches Konzept führt in die Möglichkeiten der Einbindung digitaler Methoden in ein inhaltliches Projekt der Geschichtswissenschaft ein und ermöglicht in verschiedenen Übungen eine individuelle Aktivierung der Studierenden zur Datenerzeugung. Im Zentrum steht nicht nur die Anknüpfung an fachliche Fragestellungen, sondern vor allem die Nachvollziehbarkeit der Datenmodellierung. Studierende werden so nicht nur in die Lage versetzt, Datentypen und ihre spezifischen Anforderungen zu verstehen, sondern erwerben Kompetenzen der Quellen- und Methodenkritik. Alle Rohdatensätze und ihre inhaltliche Auszeichnung (xml/TEI), die statistischen und graphbasierten Daten werden zur Nachnutzung auf öffentlichen Repositorien zur Verfügung gestellt. 
29.03.2019;09:00;10:30;HZ4;;Session;Session Praxis Digitaler Edition;Anne Baillot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.03.2019;09:00;10:30;HZ4;Vortrag_289;Vortrag;;;Vortrag Das Notizbuch als Ideenspeicher und Forschungswerkzeug: Erkenntnisse aus einer digitalen Repräsentation;Martina Scholger;Universität Graz;Österreich;;;;;;;;;;;;;;;;;;;;;;;;;;;;Das Paper widmet sich den Resultaten der kurz vor ihrem Abschluß stehenden digitalen Edition der Notizbücher des österreichischen zeitgenössischen Künstlers Hartmut Skerbisch. Es präsentiert die auf die Notizbücher angewandten Methoden, zeigt die daraus gewonnenen Erkenntnisse und Ergebnisse und versucht eine generelle Ableitung der verwendeten Methoden sowie deren Anwendbarkeit auf vergleichbare Quellen zu demonstrieren. Schließlich sollen die aus der digitale Edition gewonnenen Erfahrungen in Bezug auf die digitale Repräsentation thematisiert werden: Welche Methoden erwiesen sich als effektiv, oder aber als wenig erkenntnisbringend in Relation zum geleisteten Ressourcenaufwand. Insbesondere werden Modelle und Methoden thematisiert, die dazu geeignet sind die Entwicklung von (nicht nur) künstlerischen Ideen und Konzepten zu erschließen und nachzuzeichnen.
